New York, NY,8175133,8143197,8008278,7322564,685714,9.4,1,1,1,1
Los Angeles,CA,3792621,3844829,3694820,3485398,209422,6.0,2,2,2,2
Chicago,IL,2695598,2842518,2896016,2783726,112290,4.0,3,3,3,3
Houston,TX,2100263,2016582,1953631,1630553,323078,19.8,4,4,4,4
Philadelphia,PA,1526006,1463281,1517550,1585577,-68027,-4.3,5,5,5,5
Phoenix,AZ,1445632,1461575,1321045,983403,337642,34.3,10,6,6,6
San Antonio,TX,1327407,1256509,1144646,935933,208713,22.3,9,9,7,7
San Diego,CA,1307402,1255540,1223400,1110549,112851,10.2,6,7,8,8
Dallas,TX,1197816,1213825,1188580,1006877,181703,18.0,8,8,9,9
San Jose,CA,945942,912332,894943,782248,112695,14.4,11,11,10,10
Austin,TX,790390,690252,656562,465622,190940,41.0,25,16,14,11
Jacksonville,FL,821784,782623,735617,635230,100387,15.8,15,14,11,12
Indianapolis,IN,820445,784118,781870,741952,49974,6.7,13,12,12,13
San Francisco,CA,805235,739426,776733,723959,52774,7.3,14,13,13,14
Columbus,OH,787033,730657,711470,632910,78560,12.4,16,15,15,15
Fort Worth,TX,741206,624067,534694,447619,87075,19.5,29,27,16,16
Charlotte,NC,731424,610949,540828,395934,144894,36.6,33,26,17,17
Detroit,MI,713777,886671,951270,1027974,-76704,-7.5,7,10,18,18
El Paso,TX,649121,598590,563662,515342,48320,9.4,22,23,19,19
Memphis,TN,646889,672277,650100,610337,39763,6.5,18,18,20,20
Boston,MA,617594,559034,589141,574283,14858,2.6,20,20,22,21
Seattle,WA,608660,573911,563374,516259,47115,9.1,21,24,23,22
Denver,CO,600158,557917,554636,467610,87026,18.6,28,25,26,23
Washington,DC,601723,550521,572059,606900,-34841,-5.7,19,21,24,24
Nashville-Davidson,TN,601222,549110,545524,510784,59107,11.6,26,22,25,25
Baltimore,MD,620961,635815,651154,736014,-84860,-11.5,12,17,21,26
Louisville,KY,597337,556429,256231,269063,12832,-4.8,58,67,27,27
Portland,OR,583776,533427,529121,437319,91802,21.0,27,28,29,28
Oklahoma City,OK,579999,531324,506132,444719,61413,13.8,30,29,31,29
Milwaukee,WI,594833,578887,596974,628088,-31114,-5.0,17,19,28,30
Las Vegas,NV,583756,545147,478434,258295,220139,85.2,63,32,30,31
Albuquerque,NM,545852,494236,448607,384736,63871,16.6,40,35,32,32
Tucson,AZ,520116,515526,486699,405390,81309,20.1,34,32,33,33
Fresno,CA,494665,461116,427652,354202,73450,20.7,48,37,34,34
Sacramento,CA,466488,456441,407018,369365,37653,10.2,37,40,35,35
Long Beach,CA,462257,474014,461522,429433,32089,7.5,32,34,36,36
Kansas City,MO,459787,444965,441545,435146,6399,1.5,31,36,37,37
Mesa,AZ,439041,442780,396375,288091,108284,37.6,53,42,38,38
Virginia Beach,VA,437994,438415,425257,393069,32188,8.2,39,38,39,39
Atlanta,GA,420003,470688,416474,394017,22457,5.7,38,39,40,40
Colorado Springs,CO,416427,369815,360890,281140,79750,28.4,54,48,41,41
Raleigh,NC,403892,,,,,,,,43,42
Omaha,NE,408958,414521,390007,335795,54212,16.1,47,44,42,43
Miami,FL,399457,386417,362470,358548,3922,1.1,46,47,44,44
Oakland,CA,390724,395274,399484,372242,27242,7.3,35,41,47,45
Tulsa,OK,391906,382457,393049,367302,25747,7.0,44,43,46,46
Minneapolis,MN,382578,372811,382618,368383,14235,3.9,43,45,48,47
Cleveland,OH,396815,452208,478403,505616,-27213,-5.4,23,33,45,48
Wichita,KA,382368,353823,344284,,,,,50,49,49
Arlington,TX,365438,362805,332969,261721,71248,27.2,62,54,50,50
